"customer_id","purchase_date","product_category","purchase_amount","payment_method","shipping_address","loyalty_member","return_policy_days","customer_rating","promo_code_used"
"76","7/16/2019","home goods","152.68","credit card","15th Floor","1","18","3",""
"77","7/15/2019","home goods","481.32","cash","PO Box 16463","1","14","3","1"
"78","5/20/2020","home goods","243.54","cash","5th Floor","1","17","2","1"
"79","1/27/2019","electronics","459.54","cash","Suite 48","","14","5","1"
"80","5/9/2019","sports equipment","84.1","cash","15th Floor","1","9","1",""
"81","11/10/2019","electronics","470.58","mobile payment","1st Floor","","8","1",""
"82","10/7/2020","home goods","18.19","credit card","Suite 90","1","11","4","1"
"83","5/9/2019","beauty","419.99","credit card","PO Box 15899","1","15","4","1"
"84","7/6/2021","home goods","271.44","credit card","Room 942","1","29","2",""
"85","2/25/2020","clothing","453.79","cash","Room 189","","23","5",""
"86","8/13/2019","electronics","450.48","debit card","Suite 75","","20","1","1"
"87","7/18/2019","home goods","189.05","mobile payment","PO Box 55640","","26","4",""
"88","1/17/2021","home goods","408.8","mobile payment","Room 832","1","22","2",""
"89","3/24/2021","clothing","34.35","debit card","PO Box 98872","1","23","3",""
"90","1/13/2020","electronics","93.79","cash","Suite 18","","13","1",""
"91","1/24/2019","beauty","97.44","cash","17th Floor","","19","5",""
"92","12/14/2021","clothing","350.3","cash","Suite 71","1","28","5","1"
"93","8/19/2019","home goods","150.64","credit card","Apt 1200","","8","1",""
"94","10/6/2020","beauty","288.34","debit card","Apt 1397","","23","3",""
"95","12/5/2019","home goods","478.99","credit card","Suite 100","","9","3","1"
"96","1/1/2019","sports equipment","348.11","credit card","PO Box 85171","","12","3","1"
"97","6/25/2019","beauty","170.94","mobile payment","9th Floor","","14","5",""
"98","5/4/2020","sports equipment","146.41","debit card","Apt 881","1","14","4","1"
"99","7/17/2019","beauty","404.78","debit card","Suite 34","","20","2",""
"100","5/31/2021","beauty","306.22","debit card","Room 337","1","15","4","1"
"101","2/15/2019","clothing","475.61","debit card","PO Box 29777","1","17","3","1"
"102","10/5/2020","home goods","494.61","cash","Suite 86","","10","5","1"
"103","7/7/2019","electronics","12.85","mobile payment","Room 1152","","26","5","1"
"104","3/18/2020","electronics","61.5","mobile payment","PO Box 70687","","10","1","1"
"105","1/10/2019","home goods","345.75","cash","Room 750","","12","5",""
"106","4/9/2020","home goods","303.98","debit card","Apt 312","1","22","1","1"
"107","12/6/2020","home goods","229.29","cash","Room 270","1","27","3","1"
"108","1/3/2021","beauty","185.21","cash","1st Floor","1","14","5","1"
"109","12/26/2019","beauty","53.06","debit card","Suite 83","","9","1","1"
"110","8/5/2020","home goods","497.43","cash","Room 1839","1","19","5",""
"111","6/30/2020","home goods","353.03","mobile payment","6th Floor","","28","3","1"
"112","6/19/2021","electronics","211.72","cash","PO Box 93034","","19","1","1"
"113","5/18/2021","clothing","278.06","mobile payment","Apt 1929","","15","1","1"
"114","7/30/2021","sports equipment","344.2","mobile payment","Room 1683","1","21","1","1"
"115","9/12/2021","beauty","35.19","cash","Room 1367","1","15","5","1"
"116","12/17/2021","beauty","199.78","cash","Room 843","1","10","5","1"
"117","2/12/2020","clothing","47.85","debit card","2nd Floor","1","12","5","1"
"118","4/16/2020","sports equipment","185.71","cash","Room 974","","7","5","1"
"119","9/4/2021","clothing","15.02","cash","PO Box 30574","1","16","1",""
"120","9/15/2019","electronics","363.96","debit card","15th Floor","1","7","4",""
"121","11/30/2021","sports equipment","162.99","credit card","11th Floor","1","24","2","1"
"122","9/30/2021","beauty","131.69","credit card","Apt 545","1","29","1",""
"123","8/13/2021","beauty","98.24","debit card","16th Floor","","16","2",""
"124","6/24/2021","beauty","331.54","mobile payment","PO Box 54696","1","21","5",""
"125","11/23/2021","electronics","344.61","cash","Suite 33","1","22","5",""
"126","7/27/2019","home goods","450.78","mobile payment","Apt 503","1","29","2",""
"127","5/25/2020","clothing","91.64","cash","PO Box 94350","1","28","2",""
"128","1/10/2019","electronics","61.09","mobile payment","Room 717","","7","1",""
"129","11/28/2020","sports equipment","78.68","debit card","Apt 828","","12","4",""
"130","7/5/2021","home goods","364.23","mobile payment","Suite 98","","30","3",""
"131","11/18/2019","sports equipment","67.04","debit card","Apt 1790","","27","4","1"
"132","2/24/2020","sports equipment","474.89","mobile payment","Suite 34","","23","5",""
"133","11/24/2021","beauty","407.08","cash","Room 1537","1","20","4","1"
"134","12/1/2020","sports equipment","433.66","mobile payment","Room 1105","1","21","3","1"
"135","5/6/2021","sports equipment","110.92","debit card","Apt 9","1","24","4","1"
"136","11/14/2020","beauty","493.7","credit card","9th Floor","1","18","2","1"
"137","12/11/2021","home goods","217.87","cash","Apt 1253","1","29","2","1"
"138","1/24/2019","clothing","399.53","credit card","Room 549","","16","4","1"
"139","3/13/2021","beauty","193.45","cash","Apt 1691","1","24","2","1"
"140","4/15/2021","electronics","481.01","mobile payment","Suite 9","","21","5","1"
"141","12/27/2020","electronics","286.73","credit card","Room 1232","","16","5","1"
"142","1/21/2019","clothing","322.63","credit card","Apt 1755","1","20","4",""
"143","1/9/2020","beauty","436.71","credit card","Room 1067","1","12","5","1"
"144","3/28/2021","electronics","40.92","credit card","6th Floor","1","14","5",""
"145","6/3/2021","sports equipment","286.28","debit card","Suite 8","","13","5","1"
"146","3/7/2020","home goods","173.81","credit card","Apt 109","","17","3",""
"147","10/30/2021","clothing","250.51","debit card","Room 567","1","11","2","1"
"148","5/9/2021","clothing","375.72","credit card","PO Box 19101","1","21","4",""
"149","2/18/2021","sports equipment","431.31","cash","Room 136","","7","3","1"
"150","11/1/2020","beauty","19.53","mobile payment","Suite 40","1","13","4","1"
"151","7/20/2019","sports equipment","143.95","cash","Apt 1624","1","9","4",""
"152","11/15/2021","sports equipment","318.9","debit card","PO Box 15167","","21","1","1"
"153","8/3/2020","sports equipment","178.2","credit card","Suite 62","1","28","4","1"
"154","7/4/2020","sports equipment","26.76","debit card","Apt 550","","22","2",""
"155","1/2/2019","clothing","75.42","debit card","Suite 39","1","30","2",""
"156","1/27/2021","sports equipment","452.73","mobile payment","Apt 1092","1","18","3","1"
"157","10/28/2019","home goods","184.09","debit card","Room 741","1","17","3",""
"158","6/18/2021","sports equipment","396.96","debit card","PO Box 51564","","18","3","1"
"159","8/24/2020","electronics","346.63","mobile payment","Apt 632","1","17","5",""
"160","3/14/2019","clothing","122.48","cash","Room 1335","","8","4",""
"161","1/6/2020","beauty","294.44","cash","Room 416","","29","1","1"
"162","9/12/2020","sports equipment","151.34","cash","PO Box 60527","","30","5","1"
"163","4/25/2021","home goods","359.41","mobile payment","PO Box 14044","1","19","4","1"
"164","9/16/2019","home goods","117.92","debit card","Apt 1724","1","15","2","1"
"165","4/19/2021","beauty","119.89","credit card","1st Floor","","12","2",""
"166","3/23/2019","clothing","119.19","debit card","Room 1348","1","13","5","1"
"167","11/2/2019","electronics","239.97","debit card","Apt 736","1","16","2","1"
"168","12/7/2021","electronics","173.12","cash","PO Box 87813","","9","4","1"
"169","9/27/2019","home goods","28.03","mobile payment","4th Floor","","13","4",""
"170","1/11/2020","sports equipment","146.93","credit card","Apt 267","1","9","5","1"
"171","1/23/2020","electronics","365.24","debit card","19th Floor","1","23","2","1"
"172","11/15/2020","sports equipment","86.25","debit card","Suite 97","1","7","1","1"
"173","6/19/2020","beauty","311.7","debit card","PO Box 22588","1","26","1","1"
"174","12/30/2020","clothing","244.25","mobile payment","Room 334","","7","4","1"
"175","4/22/2020","home goods","116.16","debit card","8th Floor","1","7","3",""
"176","10/3/2019","clothing","341.16","credit card","17th Floor","1","14","4",""
"177","2/27/2019","home goods","219.1","credit card","Suite 27","","28","5","1"
"178","11/18/2019","sports equipment","136.93","mobile payment","Suite 63","1","17","3","1"
"179","3/17/2020","clothing","95.42","debit card","Suite 67","","20","2",""
"180","7/6/2020","home goods","444.34","cash","Apt 695","1","30","1",""
"181","12/2/2020","sports equipment","344.91","mobile payment","Apt 608","1","19","5",""
"182","3/29/2020","sports equipment","491.64","cash","PO Box 61609","1","22","1",""
"183","12/12/2019","home goods","357.04","mobile payment","Suite 14","1","19","3",""
"184","5/20/2019","clothing","448.2","cash","Room 1060","1","7","5",""
"185","2/23/2021","home goods","355.63","cash","Room 714","","24","1","1"
"186","6/1/2019","clothing","469.86","cash","Room 1501","1","14","2","1"
"187","1/25/2020","beauty","419.51","debit card","Room 133","","11","1","1"
"188","12/16/2021","clothing","231.11","mobile payment","PO Box 73617","1","17","5",""
"189","8/26/2019","clothing","226.16","mobile payment","Apt 1572","1","22","2","1"
"190","6/13/2020","clothing","107.64","cash","Room 1189","","15","2","1"
"191","5/29/2021","sports equipment","91.36","mobile payment","Apt 1073","1","10","3",""
"192","2/10/2020","beauty","114.05","cash","7th Floor","","23","3","1"
"193","9/1/2019","clothing","133.96","credit card","15th Floor","","26","2",""
"194","9/18/2019","beauty","496.41","cash","PO Box 24111","","30","5",""
"195","12/26/2020","electronics","379.79","cash","11th Floor","1","20","5",""
"196","12/6/2021","clothing","217.79","cash","8th Floor","","26","5",""
"197","3/9/2020","clothing","462.69","credit card","PO Box 63675","","26","3","1"
"198","2/10/2021","home goods","215.84","credit card","13th Floor","1","21","2","1"
"199","4/4/2021","sports equipment","134.8","mobile payment","Suite 72","1","15","2",""
"200","9/9/2020","beauty","203.38","credit card","Room 1736","","29","1",""
"201","10/7/2019","home goods","446.33","cash","PO Box 72860","1","15","4",""
"202","3/14/2021","clothing","122.28","cash","Suite 79","1","27","3",""
"203","2/12/2021","sports equipment","121.92","cash","Apt 339","","29","5",""
"204","12/19/2020","clothing","19.05","mobile payment","4th Floor","1","25","1","1"
"205","12/4/2019","home goods","173.55","mobile payment","Room 1441","1","8","5",""
"206","5/10/2020","sports equipment","114.97","credit card","PO Box 32725","","29","3","1"
"207","5/13/2020","sports equipment","285.08","credit card","Room 1503","","25","2",""
"208","6/19/2020","clothing","233.97","mobile payment","Apt 1400","1","28","4","1"
"209","3/14/2020","home goods","17.41","mobile payment","12th Floor","1","16","5",""
"210","12/15/2019","sports equipment","204.55","credit card","Room 747","1","13","1",""
"211","3/4/2020","home goods","92.19","debit card","3rd Floor","1","19","1",""
"212","10/2/2019","beauty","103.78","cash","19th Floor","","10","2",""
"213","3/13/2021","electronics","79.49","cash","18th Floor","1","9","2",""
"214","9/18/2020","sports equipment","46.52","mobile payment","3rd Floor","1","17","1","1"
"215","11/29/2019","electronics","486.58","cash","6th Floor","1","18","3","1"
"216","10/22/2020","home goods","158.75","cash","13th Floor","","7","2","1"
"217","1/2/2019","clothing","101.26","debit card","Room 1062","","20","5","1"
"218","4/23/2020","electronics","59.61","debit card","Apt 488","1","18","1",""
"219","11/28/2019","home goods","280.05","credit card","Apt 636","1","13","1",""
"220","10/16/2019","clothing","450.32","debit card","Room 1989","1","10","2",""
"221","5/16/2021","beauty","414.59","credit card","Room 174","","16","2","1"
"222","3/27/2021","beauty","280.88","credit card","Apt 758","","20","3",""
"223","12/23/2021","sports equipment","329.52","mobile payment","Room 155","","24","2","1"
"224","4/29/2019","sports equipment","352.99","mobile payment","PO Box 74847","1","7","1","1"
"225","10/22/2020","electronics","369.21","cash","8th Floor","1","17","2",""
"226","8/20/2019","beauty","102.24","credit card","Suite 41","","13","1",""
"227","6/5/2019","clothing","299.11","debit card","Apt 1312","","13","3","1"
"228","8/13/2020","clothing","186.54","cash","PO Box 83234","1","10","2",""
"229","8/10/2019","home goods","231.23","mobile payment","PO Box 93319","1","9","3","1"
"230","6/21/2020","home goods","49.95","mobile payment","Apt 1415","1","23","3","1"
"231","10/18/2019","beauty","19.97","credit card","Room 1363","","30","2","1"
"232","5/30/2019","clothing","285.07","debit card","15th Floor","","14","2","1"
"233","12/28/2021","beauty","104.75","mobile payment","15th Floor","1","14","3",""
"234","10/7/2021","home goods","75.67","credit card","PO Box 39400","1","30","2",""
"235","8/19/2020","beauty","475.85","credit card","PO Box 91089","1","19","5","1"
"236","4/19/2021","beauty","33.03","cash","PO Box 16015","","7","1",""
"237","4/25/2020","clothing","483.97","cash","16th Floor","","21","3","1"
"238","8/17/2021","sports equipment","378.3","debit card","Suite 62","1","25","3",""
"239","8/28/2020","beauty","194.28","cash","PO Box 76193","1","19","5","1"
"240","11/1/2019","sports equipment","289.41","mobile payment","Suite 80","1","22","4",""
"241","8/25/2019","beauty","211.46","debit card","Suite 38","","13","3","1"
"242","1/12/2020","sports equipment","182.89","cash","Room 1980","1","25","3",""
"243","10/4/2020","clothing","296.54","debit card","Apt 1357","1","19","1","1"
"244","8/30/2020","beauty","315.23","debit card","12th Floor","1","10","1",""
"245","12/7/2019","electronics","106.4","credit card","Apt 992","1","15","2",""
"246","1/30/2020","clothing","223.17","debit card","Apt 382","","11","4",""
"247","2/25/2019","beauty","344.3","credit card","Apt 308","1","29","5","1"
"248","4/23/2019","home goods","451.1","cash","Apt 1568","1","8","5","1"
"249","8/30/2020","home goods","354.99","credit card","9th Floor","","24","2",""
"250","1/13/2021","home goods","52.01","cash","Room 1244","","28","2","1"
"251","1/9/2021","home goods","377.71","debit card","Apt 411","","20","5","1"
"252","7/12/2019","clothing","93.06","debit card","Apt 1969","1","7","1","1"
"253","4/17/2021","clothing","194.56","mobile payment","20th Floor","1","16","2","1"
"254","4/24/2020","home goods","229.22","credit card","Room 629","1","11","2",""
"255","8/15/2021","beauty","167.14","credit card","1st Floor","1","12","2",""
"256","1/30/2019","home goods","293.13","credit card","Suite 47","","13","2",""
"257","7/24/2021","sports equipment","143.9","mobile payment","Apt 984","","21","4","1"
"258","4/10/2019","electronics","305.11","cash","Suite 31","","27","4","1"
"259","5/7/2019","electronics","332.59","debit card","Apt 1829","","16","4","1"
"260","2/23/2020","home goods","268.89","cash","Room 97","1","11","2","1"
"261","11/25/2020","beauty","353.62","mobile payment","Room 512","","12","5",""
"262","2/11/2019","home goods","398.29","cash","Room 1248","","15","5",""
"263","7/13/2019","home goods","29.03","mobile payment","Room 1868","1","27","2",""
"264","1/6/2021","beauty","275.17","mobile payment","2nd Floor","","17","2",""
"265","5/28/2019","beauty","37.45","mobile payment","2nd Floor","","24","3","1"
"266","8/29/2020","sports equipment","168.8","credit card","PO Box 13302","1","11","5",""
"267","1/12/2021","home goods","190.61","debit card","Suite 21","","25","2",""
"268","2/7/2020","clothing","17.04","debit card","PO Box 14983","","22","3",""
"269","3/5/2020","beauty","461.44","debit card","Apt 5","1","30","1","1"
"270","2/1/2020","clothing","106.9","cash","14th Floor","1","9","4","1"
"271","1/31/2021","beauty","214.02","debit card","Suite 82","1","15","1","1"
"272","11/12/2019","beauty","155.28","mobile payment","Room 214","1","10","2","1"
"273","9/27/2019","electronics","187.92","credit card","Room 1191","1","20","2","1"
"274","3/29/2020","sports equipment","102.03","credit card","PO Box 7429","","30","2",""
"275","12/2/2020","beauty","141.21","credit card","PO Box 34102","","9","3",""
"276","8/11/2019","clothing","347.64","mobile payment","1st Floor","","30","5",""
"277","9/2/2021","clothing","156.05","cash","Apt 1322","1","11","5",""
"278","11/11/2020","sports equipment","133.76","mobile payment","6th Floor","","21","2","1"
"279","6/18/2021","clothing","73.12","cash","Apt 1980","","9","5",""
"280","5/19/2020","clothing","241.38","debit card","6th Floor","1","17","1",""
"281","1/2/2021","sports equipment","241.66","mobile payment","Apt 10","1","30","2",""
"282","10/12/2021","beauty","485.32","debit card","Room 1924","","26","5",""
"283","3/23/2020","beauty","294.43","credit card","PO Box 56470","1","16","5","1"
"284","3/15/2021","home goods","399.79","debit card","Suite 49","","8","2",""
"285","4/3/2021","electronics","73.86","credit card","16th Floor","1","26","2",""
"286","9/15/2019","clothing","106.02","cash","Room 1111","1","7","4","1"
"287","9/2/2020","electronics","479.24","credit card","Apt 33","1","13","4","1"
"288","8/17/2019","sports equipment","446.2","mobile payment","PO Box 44255","","11","4","1"
"289","2/14/2019","electronics","229.91","mobile payment","Room 1904","1","16","5",""
"290","6/13/2019","clothing","11.32","cash","Suite 91","","12","3",""
"291","9/28/2021","clothing","459.07","credit card","Room 1557","","26","4","1"
"292","3/12/2020","clothing","13.97","cash","2nd Floor","1","22","5",""
"293","4/21/2019","beauty","79.26","mobile payment","4th Floor","1","14","1",""
"294","4/12/2019","sports equipment","74.79","credit card","Suite 85","","30","4","1"
"295","2/25/2019","sports equipment","122.79","credit card","Apt 10","","21","4",""
"296","5/30/2019","electronics","186.44","mobile payment","Suite 84","1","23","3",""
"297","12/14/2019","beauty","340.27","debit card","Apt 1806","","26","2",""
"298","7/13/2021","clothing","490.39","credit card","PO Box 68225","1","8","3",""
"299","5/21/2020","sports equipment","105.33","credit card","Suite 89","","8","2","1"
"300","1/30/2019","beauty","101.09","mobile payment","Room 758","","16","2","1"
"301","2/1/2021","sports equipment","51.21","cash","14th Floor","","11","5",""
"302","2/18/2019","sports equipment","100.96","mobile payment","15th Floor","","27","1",""
"303","3/31/2019","home goods","394.31","mobile payment","6th Floor","","22","1","1"
"304","10/17/2021","electronics","447.16","debit card","Room 192","1","16","3",""
"305","9/14/2020","sports equipment","26.55","cash","PO Box 15561","1","28","2",""
"306","2/3/2019","electronics","359.15","mobile payment","5th Floor","1","18","2","1"
"307","8/17/2019","electronics","54.55","mobile payment","Suite 85","","27","3","1"
"308","3/27/2019","beauty","281.28","cash","Apt 1137","","27","1",""
"309","3/4/2021","clothing","125.05","cash","Apt 870","","29","5",""
"310","6/11/2021","beauty","101.34","debit card","PO Box 2557","","17","2",""
"311","9/5/2019","electronics","78.32","credit card","PO Box 83186","","17","1",""
"312","8/1/2020","sports equipment","380.81","debit card","PO Box 44870","","13","5","1"
"313","10/3/2020","electronics","334.89","mobile payment","Apt 1676","","16","1","1"
"314","11/18/2021","beauty","458.91","cash","Apt 1964","","7","4",""
"315","12/10/2020","clothing","71.8","credit card","Room 351","1","11","5","1"
"316","4/13/2020","sports equipment","228.84","debit card","PO Box 61830","","16","2",""
"317","4/5/2019","clothing","99.16","mobile payment","PO Box 64839","","20","4",""
"318","11/4/2020","beauty","277.37","mobile payment","Suite 57","","24","5","1"
"319","12/2/2021","clothing","498.52","credit card","Apt 658","","20","1","1"
"320","7/15/2020","clothing","480.39","debit card","PO Box 92828","","24","4",""
"321","8/27/2020","home goods","327.3","credit card","20th Floor","","29","3","1"
"322","1/6/2020","home goods","119.59","debit card","Room 766","","21","5",""
"323","1/25/2020","clothing","187.71","mobile payment","Room 1490","","23","1",""
"324","12/9/2019","home goods","389.06","cash","PO Box 4665","","12","5","1"
"325","9/26/2019","electronics","167.09","cash","PO Box 66365","","20","3","1"
"326","12/18/2020","electronics","447.79","credit card","Room 1816","","9","3","1"
"327","8/8/2020","home goods","217.75","debit card","PO Box 36202","1","23","2",""
"328","11/30/2020","electronics","446.66","cash","Room 1743","","28","1","1"
"329","2/7/2019","clothing","214.66","cash","Apt 328","1","9","3","1"
"330","10/10/2019","clothing","175.42","mobile payment","PO Box 22476","","28","1","1"
"331","8/25/2019","sports equipment","215.18","cash","Apt 1203","1","23","2",""
"332","7/25/2020","electronics","438.23","cash","Apt 184","1","28","1",""
"333","7/26/2020","home goods","390.18","credit card","Suite 60","","16","2","1"
"334","4/20/2020","home goods","290.17","credit card","Suite 8","","13","3","1"
"335","7/14/2021","electronics","279.82","mobile payment","Room 1608","","19","5",""
"336","5/1/2021","electronics","87.28","debit card","PO Box 98323","","26","3",""
"337","9/24/2020","electronics","430.16","credit card","7th Floor","1","30","2",""
"338","8/18/2019","sports equipment","399.57","debit card","Suite 65","1","27","1",""
"339","1/18/2019","electronics","115.69","mobile payment","Apt 877","1","11","4","1"
"340","11/17/2019","electronics","237.01","mobile payment","PO Box 65485","1","8","2","1"
"341","2/27/2021","electronics","456.22","debit card","PO Box 76480","","9","5",""
"342","12/26/2021","home goods","124.76","cash","10th Floor","","12","1",""
"343","8/15/2019","home goods","449.73","debit card","PO Box 32005","","7","2","1"
"344","11/19/2020","clothing","205.45","mobile payment","15th Floor","1","14","2",""
"345","2/17/2021","home goods","499.33","debit card","Suite 1","1","29","3",""
"346","6/11/2020","clothing","27.73","mobile payment","Suite 27","1","15","5",""
"347","6/29/2020","sports equipment","407.63","mobile payment","Suite 62","1","9","3","1"
"348","9/21/2020","clothing","431.56","cash","14th Floor","1","28","1",""
"349","8/14/2021","beauty","484.63","credit card","Suite 35","","27","5","1"
"350","4/26/2019","home goods","174.64","debit card","Apt 1754","","13","3","1"
"351","4/26/2020","beauty","473.99","debit card","Apt 1560","","25","3",""
"352","7/10/2021","clothing","208.17","credit card","Room 576","1","12","3",""
"353","1/18/2019","beauty","125.32","cash","PO Box 37495","1","22","5","1"
"354","2/3/2021","electronics","262.78","mobile payment","Suite 44","","19","1",""
"355","10/23/2020","home goods","416.2","mobile payment","Suite 67","","17","1","1"
"356","4/30/2020","clothing","142.26","mobile payment","Room 1382","","15","5",""
"357","5/19/2019","sports equipment","65.85","debit card","Room 821","1","23","5",""
"358","9/26/2019","sports equipment","412.1","cash","20th Floor","1","26","4","1"
"359","12/14/2020","beauty","402.9","debit card","17th Floor","","14","2","1"
"360","4/2/2020","clothing","491.06","mobile payment","Suite 44","1","29","4","1"
"361","12/10/2021","clothing","157.45","mobile payment","Room 89","1","28","3",""
"362","3/23/2021","clothing","172.08","mobile payment","Suite 89","","7","5","1"
"363","12/30/2021","sports equipment","442.12","cash","4th Floor","","28","4",""
"364","8/28/2021","electronics","195.09","mobile payment","Room 915","1","29","4","1"
"365","12/2/2019","home goods","306.36","mobile payment","Room 1851","","9","5",""
"366","1/28/2020","beauty","118.11","credit card","Suite 6","1","8","1","1"
"367","9/12/2021","sports equipment","488.06","credit card","PO Box 84917","","28","1",""
"368","5/14/2019","home goods","187.61","credit card","Apt 782","","13","3","1"
"369","4/2/2021","sports equipment","335.16","debit card","PO Box 43799","","11","5","1"
"370","2/4/2021","home goods","466.06","cash","PO Box 81831","","26","2","1"
"371","7/23/2020","clothing","189.19","debit card","Apt 276","","15","4","1"
"372","4/23/2020","home goods","383.98","credit card","Room 1452","1","10","1","1"
"373","2/6/2021","electronics","32.31","debit card","Suite 73","","20","3","1"
